product_names,product_prices,category
MOTOROLA Envision X 80 cm (32 inch) HD Ready LED Smart Google TV,"₹10,999",tv
MOTOROLA EnvisionX 109 cm (43 inch) Full HD LED Smart Google TV with Inbuilt Box Speakers,"₹18,999",tv
realme 100.3 cm (40 inch) Full HD LED Smart Android TV 2022 Edition with Android 11 - 2022 Model,"₹17,499",tv
OnePlus U1S 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Far field and Dolby Audio,"₹37,999",tv
OnePlus U1S 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Far field and Dolby Audio,"₹37,999",tv
"Infinix Y1 80 cm (32 inch) HD Ready LED Smart Linux TV 2022 Edition with YouTube & Pre-loaded Apps, Wi...","₹8,499
",tv
MarQ By Flipkart 60 cm (24 inch) HD Ready LED TV,"₹5,699
",tv
BeethoSOL 60 cm (24 inch) HD Ready LED TV,"₹5,599
",tv
SONY Bravia 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV 2022 Edition,"₹39,490",tv
Hisense A6H 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV 2022 Edition with Hands Free Voice Cont...,"₹19,999",tv
"SENS Dwinci 165 cm (65 inch) QLED Ultra HD (4K) Smart Google TV With LumiSENS Panel, Dolby Vision and ...","₹39,999",tv
BeethoSOL 80 cm (32 inch) HD Ready LED TV,"₹6,749
",tv
Mi X Pro 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with 4K Dolby Vision IQ | HDR...,"₹30,499",tv
Mi X Series 138 cm (55 inch) Ultra HD (4K) LED Smart Android TV 2022 Edition with 4K Dolby Vision | HD...,"₹35,990",tv
realme 80 cm (32 inch) HD Ready LED Smart Android TV 2023 Edition with Android 11,"₹12,999",tv
Mi X Series 125 cm (50 inch) Ultra HD (4K) LED Smart Android TV 2022 Edition with 4K Dolby Vision | HD...,"₹29,999",tv
MOTOROLA EnvisionX 127 cm (50 inch) Ultra HD (4K) LED Smart Google TV with Inbuilt Box Speakers,"₹26,999",tv
"SENS Dwinci 140 cm (55 inch) QLED Ultra HD (4K) Smart Google TV With LumiSENS Panel, Dolby Vision and ...","₹29,999",tv
OnePlus U1S 164 cm (65 inch) Ultra HD (4K) LED Smart Android TV with Far field and Dolby Audio,"₹50,999",tv
Hisense Tornado 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2022 Edition with 102W JBL 6 Speake...,"₹31,999",tv
MOTOROLA EnvisionX 165 cm (65 inch) Ultra HD (4K) LED Smart Google TV with Inbuilt Box Speakers,"₹39,990",tv
MOTOROLA EnvisionX 178 cm (70 inch) Ultra HD (4K) LED Smart Google TV with Inbuilt Box Speakers,"₹59,999",tv
MOTOROLA Envision X 80 cm (32 inch) HD Ready LED Smart Google TV,"₹10,999",tv
Thomson 9A Series 80 cm (32 inch) HD Ready LED Smart Android TV,"₹8,888
",tv
Mi 5A 108 cm (43 inch) Full HD LED Smart Android TV with Dolby Audio (2022 Model),"₹21,499",tv
Hisense Tornado 126 cm (50 inch) Ultra HD (4K) LED Smart Google TV 2022 Edition with 102W JBL 6 Speake...,"₹27,999",tv
MOTOROLA EnvisionX 140 cm (55 inch) Ultra HD (4K) LED Smart Google TV with Inbuilt Box Speakers,"₹29,999",tv
Thomson 139 cm (55 inch) QLED Ultra HD (4K) Smart Google TV with Dolby Vision & Atmos,"₹33,999",tv
